T° Extérieure;H% Extérieure;Dew Point;Ressentie;Vent;Rafale;Pression R;Luminosité;UVI;Pluie Heure;Pluie Jour;Semaine;Pluie mois;Pluie Année;Pm2.5;;;
8.9;89;7.2;8.9;0;0;1008.3;0;0;0;0;1.1;56.2;612.4;8.6;8.7;01:35;
8.9;90;7.3;8.9;2.9;3.2;1008.2;0;0;0;0;1.1;56.2;612.4;8.6;8.7;01:36;
8.9;90;7.3;8.9;3.2;3.2;1008.1;0;0;0;0;1.1;56.2;612.4;8.5;8.7;01:37;
8.8;90;7.2;8.8;2.9;2.9;1008.3;0;0;0;0;1.1;56.2;612.4;8.5;8.6;01:38;
8.8;90;7.2;8.4;5;5;1008.1;0;0;0;0;1.1;56.2;612.4;8.5;8.6;01:39;
8.7;90;7.1;8.7;3.6;4.3;1007.9;0;0;0;0;1.1;56.2;612.4;8.5;8.6;01:40;
8.6;90;7;8.6;0;2.2;1008;0;0;0;0;1.1;56.2;612.4;8.5;8.6;01:41;
8.6;90;7;8.6;1.8;3.6;1008;0;0;0;0;1.1;56.2;612.4;8.4;8.5;01:42;
8.6;90;7;8.6;0;2.2;1008;0;0;0;0;1.1;56.2;612.4;8.4;8.5;01:43;
8.5;90;7;8.5;2.2;2.5;1007.8;0;0;0;0;1.1;56.2;612.4;8.4;8.5;01:44;
8.5;90;7;8.5;2.5;3.2;1007.9;0;0;0;0;1.1;56.2;612.4;8.4;8.5;01:45;
8.5;90;7;8.5;3.2;3.2;1007.6;0;0;0;0;1.1;56.2;612.4;8.3;8.4;01:46;
8.5;90;7;8.5;3.6;4.3;1007.5;0;0;0;0;1.1;56.2;612.4;8.3;8.4;01:47;
8.4;90;6.9;8.4;3.2;3.6;1007.9;0;0;0;0;1.1;56.2;612.4;8.3;8.3;01:48;
8.4;90;6.9;8.4;2.5;4;1007.6;0;0;0;0;1.1;56.2;612.4;8.2;8.3;01:49;
8.4;90;6.9;8.4;4.3;4.3;1007.7;0;0;0;0;1.1;56.2;612.4;8.2;8.3;01:50;
8.5;90;7;8.5;3.6;4;1007.8;0;0;0;0;1.1;56.2;612.4;8.1;8.2;01:51;
8.5;90;7;8.5;3.6;3.6;1007.7;0;0;0;0;1.1;56.2;612.4;8.1;8.1;01:52;
8.4;90;6.9;8.4;1.8;3.2;1007.5;0;0;0;0;1.1;56.2;612.4;8;8.1;01:53;
8.5;90;7;8.5;0;2.9;1007.5;0;0;0;0;1.1;56.2;612.4;8;8.1;01:54;
8.5;90;7;8.5;2.2;2.5;1007.5;0;0;0;0;1.1;56.2;612.4;7.9;8.1;01:55;
8.5;90;7;8.5;2.2;2.2;1007.6;0;0;0;0;1.1;56.2;612.4;7.9;8;01:56;
8.5;90;7;8.5;2.2;2.9;1007.4;0;0;0;0;1.1;56.2;612.4;7.9;8;01:57;
8.5;90;7;8.5;0;2.5;1007.5;0;0;0;0;1.1;56.2;612.4;7.9;8;01:58;
8.5;90;7;8.5;0;0;1007.3;0;0;0;0;1.1;56.2;612.4;7.8;7.9;01:59;
8.5;90;7;8.5;1.8;1.8;1007.4;0;0;0;0;1.1;56.2;612.4;7.8;7.9;02:00;
8.5;90;7;8.5;3.2;3.6;1007.2;0;0;0;0;1.1;56.2;612.4;7.7;7.9;02:01;
